BFS_NR,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG
0,Bezirk Andelfingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2011,50000,Fr.,Franken
0,Bezirk Andelfingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2012,50300,Fr.,Franken
0,Bezirk Andelfingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,317,Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.],1999,50700,Fr.,Franken
0,Bezirk Andelfingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,317,Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.],2000,54000,Fr.,Franken
0,Bezirk Andelfingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,317,Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.],2001,55500,Fr.,Franken
0,Bezirk Andelfingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,317,Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.],2002,55000,Fr.,Franken
0,Bezirk Andelfingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,317,Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.],2003,55100,Fr.,Franken
0,Bezirk Andelfingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,317,Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.],2004,56400,Fr.,Franken
0,Bezirk Andelfingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,317,Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.],2005,57000,Fr.,Franken
0,Bezirk Andelfingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,317,Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.],2006,57000,Fr.,Franken
0,Bezirk Andelfingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,317,Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.],2007,59200,Fr.,Franken
0,Bezirk Andelfingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,317,Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.],2008,59100,Fr.,Franken
0,Bezirk Andelfingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,317,Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.],2009,60400,Fr.,Franken
0,Bezirk Andelfingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,317,Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.],2010,60700,Fr.,Franken
0,Bezirk Andelfingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,317,Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.],2011,61500,Fr.,Franken
0,Bezirk Andelfingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,317,Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.],2012,61700,Fr.,Franken
0,Bezirk Bülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],1999,47600,Fr.,Franken
0,Bezirk Bülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2000,49300,Fr.,Franken
0,Bezirk Bülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2001,50700,Fr.,Franken
0,Bezirk Bülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2002,50400,Fr.,Franken
0,Bezirk Bülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2003,50000,Fr.,Franken
0,Bezirk Bülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2004,49800,Fr.,Franken
0,Bezirk Bülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2005,49800,Fr.,Franken
0,Bezirk Bülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2006,49700,Fr.,Franken
0,Bezirk Bülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2007,50400,Fr.,Franken
0,Bezirk Bülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2008,50600,Fr.,Franken
0,Bezirk Bülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2009,50600,Fr.,Franken
0,Bezirk Bülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2010,50600,Fr.,Franken
0,Bezirk Bülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2011,50700,Fr.,Franken
0,Bezirk Bülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2012,50600,Fr.,Franken
0,Bezirk Bülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,317,Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.],1999,57200,Fr.,Franken
0,Bezirk Bülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,317,Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.],2000,59700,Fr.,Franken
0,Bezirk Bülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,317,Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.],2001,61700,Fr.,Franken
0,Bezirk Bülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,317,Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.],2002,60600,Fr.,Franken
0,Bezirk Bülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,317,Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.],2003,60100,Fr.,Franken
0,Bezirk Bülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,317,Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.],2004,59900,Fr.,Franken
0,Bezirk Bülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,317,Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.],2005,60300,Fr.,Franken
0,Bezirk Bülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,317,Steuerb. Einkommen natürl. Pers. Durchschn. [Fr.],2006,60200,Fr.,Franken
