"","diff(y)","lag(y, 1)","lag(x1, 1)","lag(x2, 1)","lag(x3, 1)","lag(diff(y), 1)","lag(diff(y), 2)","lag(diff(y), 3)","lag(diff(y), 4)","lag(diff(x1), 0)","lag(diff(x1), 1)","lag(diff(x1), 2)","lag(diff(x1), 3)","lag(diff(x1), 4)","lag(diff(x2), 0)","lag(diff(x2), 1)","lag(diff(x2), 2)","lag(diff(x2), 3)","lag(diff(x2), 4)","lag(diff(x3), 0)","lag(diff(x3), 1)","lag(diff(x3), 2)","lag(diff(x3), 3)","lag(diff(x3), 4)"
"184",-3.66500000000001,103.685,85690.6272841699,54949.9483948559,0.28833,-1.66999999999999,4.13,0.125,0.305000000000007,329.372715830148,305.812282580271,307.469783375069,334.345218214512,378.868369877586,150.051605144101,136.813114405202,93.3807546305543,19.7545258201426,-64.3605475644799,-0.03666,-0.10667,-0.00833,-0.25834,-2.29333
"185",5.655,100.02,86020,55100,0.25167,-3.66500000000001,-1.66999999999999,4.13,0.125,371.76899130104,329.372715830148,305.812282580271,307.469783375069,334.345218214512,138.897571421454,150.051605144101,136.813114405202,93.3807546305543,19.7545258201426,-0.005,-0.03666,-0.10667,-0.00833,-0.25834
"186",0.415000000000006,105.675,86391.768991301,55238.8975714215,0.24667,5.655,-3.66500000000001,-1.66999999999999,4.13,407.472741698439,371.76899130104,329.372715830148,305.812282580271,307.469783375069,126.556391534126,138.897571421454,150.051605144101,136.813114405202,93.3807546305543,-0.135,-0.005,-0.03666,-0.10667,-0.00833
"187",1.685,106.09,86799.2417329995,55365.4539629556,0.11167,0.415000000000006,5.655,-3.66500000000001,-1.66999999999999,430.101875198699,407.472741698439,371.76899130104,329.372715830148,305.812282580271,118.829410056336,126.556391534126,138.897571421454,150.051605144101,136.813114405202,0.06666,-0.135,-0.005,-0.03666,-0.10667
"188",4.58999999999999,107.775,87229.3436081982,55484.2833730119,0.17833,1.685,0.415000000000006,5.655,-3.66500000000001,439.656391801822,430.101875198699,407.472741698439,371.76899130104,329.372715830148,115.716626988084,118.829410056336,126.556391534126,138.897571421454,150.051605144101,-0.00832999999999998,0.06666,-0.135,-0.005,-0.03666
"189",-4.605,112.365,87669,55600,0.17,4.58999999999999,1.685,0.415000000000006,5.655,437.500691581314,439.656391801822,430.101875198699,407.472741698439,371.76899130104,115.280188494042,115.716626988084,118.829410056336,126.556391534126,138.897571421454,0.00999999999999998,-0.00832999999999998,0.06666,-0.135,-0.005
"190",1.30500000000001,107.76,88106.5006915813,55715.280188494,0.18,-4.605,4.58999999999999,1.685,0.415000000000006,429.092374831191,437.500691581314,439.656391801822,430.101875198699,407.472741698439,109.768679232933,115.280188494042,115.716626988084,118.829410056336,126.556391534126,-0.005,0.00999999999999998,-0.00832999999999998,0.06666,-0.135
"191",5.61500000000001,109.065,88535.5930664125,55825.048867727,0.175,1.30500000000001,-4.605,4.58999999999999,1.685,415.795841624946,429.092374831191,437.500691581314,439.656391801822,430.101875198699,97.244245369453,109.768679232933,115.280188494042,115.716626988084,118.829410056336,-0.15167,-0.005,0.00999999999999998,-0.00832999999999998,0.06666
"192",-0.469999999999999,114.68,88951.3889080375,55922.2931130964,0.02333,5.61500000000001,1.30500000000001,-4.605,4.58999999999999,397.61109196255,415.795841624946,429.092374831191,437.500691581314,439.656391801822,77.706886903572,97.244245369453,109.768679232933,115.280188494042,115.716626988084,0.02834,-0.15167,-0.005,0.00999999999999998,-0.00832999999999998
"193",-1.80000000000001,114.21,89349,56000,0.05167,-0.469999999999999,5.61500000000001,1.30500000000001,-4.605,373.853242373676,397.61109196255,415.795841624946,429.092374831191,437.500691581314,51.5441746023862,77.706886903572,97.244245369453,109.768679232933,115.280188494042,0.05833,0.02834,-0.15167,-0.005,0.00999999999999998
"194",7.75,112.41,89722.8532423737,56051.5441746024,0.11,-1.80000000000001,-0.469999999999999,5.61500000000001,1.30500000000001,341.782758976799,373.853242373676,397.61109196255,415.795841624946,429.092374831191,20.3063915341263,51.5441746023862,77.706886903572,97.244245369453,109.768679232933,-0.023,0.05833,0.02834,-0.15167,-0.005
"195",0.659999999999997,120.16,90064.6360013505,56071.8505661365,0.087,7.75,-1.80000000000001,-0.469999999999999,5.61500000000001,300.714758301561,341.782758976799,373.853242373676,397.61109196255,415.795841624946,-15.6188915341263,20.3063915341263,51.5441746023862,77.706886903572,97.244245369453,-0.043,-0.023,0.05833,0.02834,-0.15167
"196",-4.94999999999999,120.82,90365.350759652,56056.2316746024,0.044,0.659999999999997,7.75,-1.80000000000001,-0.469999999999999,250.649240347964,300.714758301561,341.782758976799,373.853242373676,397.61109196255,-56.2316746023862,-15.6188915341263,20.3063915341263,51.5441746023862,77.706886903572,-0.032,-0.043,-0.023,0.05833,0.02834
"202",-1.28500000000001,83.115,106791,69700,1.83833,-4.81,5.97000000000001,-0.549999999999997,-1.86500000000001,247.021172432549,291.576651377152,319.650579596739,327.036964109793,313.735804916316,-304.577193976686,168.023903011665,565.368260200776,823.672178594556,942.935658193004,-0.20333,-0.445,-0.95334,-0.08833,-0.0449999999999999
"203",3.32000000000001,81.83,107038.021172433,69395.4228060233,1.635,-1.28500000000001,-4.81,5.97000000000001,-0.549999999999997,202.808114689076,247.021172432549,291.576651377152,319.650579596739,327.036964109793,-597.300234779788,-304.577193976686,168.023903011665,565.368260200776,823.672178594556,-0.39167,-0.20333,-0.445,-0.95334,-0.08833
"204",-1.13000000000001,85.15,107240.829287122,68798.1225712435,1.24333,3.32000000000001,-1.28500000000001,-4.81,5.97000000000001,163.143471128264,202.808114689076,247.021172432549,291.576651377152,319.650579596739,-646.361520401551,-597.300234779788,-304.577193976686,168.023903011665,565.368260200776,-0.495,-0.39167,-0.20333,-0.445,-0.95334
"205",-1.13,84.02,107403.97275825,68151.761050842,0.74833,-1.13000000000001,3.32000000000001,-1.28500000000001,-4.81,128.027241750111,163.143471128264,202.808114689076,247.021172432549,291.576651377152,-451.761050841975,-646.361520401551,-597.300234779788,-304.577193976686,168.023903011665,-0.13166,-0.495,-0.39167,-0.20333,-0.445
"206",0.679999999999993,82.89,107532,67700,0.61667,-1.13,-1.13000000000001,3.32000000000001,-1.28500000000001,97.9607553534879,128.027241750111,163.143471128264,202.808114689076,247.021172432549,-82.4393822862767,-451.761050841975,-646.361520401551,-597.300234779788,-304.577193976686,-0.30334,-0.13166,-0.495,-0.39167,-0.20333
"207",-1.95499999999998,83.57,107629.960755353,67617.5606177137,0.31333,0.679999999999993,-1.13,-1.13000000000001,3.32000000000001,74.949327133887,97.9607553534879,128.027241750111,163.143471128264,202.808114689076,185.841260524612,-82.4393822862767,-451.761050841975,-646.361520401551,-597.300234779788,-0.025,-0.30334,-0.13166,-0.495,-0.39167
"208",1.57499999999999,81.615,107704.910082487,67803.4018782383,0.28833,-1.95499999999998,0.679999999999993,-1.13,-1.13000000000001,59.4942858902068,74.949327133887,97.9607553534879,128.027241750111,163.143471128264,284.140321405444,185.841260524612,-82.4393822862767,-451.761050841975,-646.361520401551,-0.03416,-0.025,-0.30334,-0.13166,-0.495
"209",-1.75,83.19,107764.404368378,68087.5421996438,0.25417,1.57499999999999,-1.95499999999998,0.679999999999993,-1.13,51.5956316224183,59.4942858902068,74.949327133887,97.9607553534879,128.027241750111,212.45780035622,284.140321405444,185.841260524612,-82.4393822862767,-451.761050841975,0.00583,-0.03416,-0.025,-0.30334,-0.13166
"210",-2.60499999999999,81.44,107816,68300,0.26,-1.75,1.57499999999999,-1.95499999999998,0.679999999999993,51.6670561534993,51.5956316224183,59.4942858902068,74.949327133887,97.9607553534879,24.9597231217631,212.45780035622,284.140321405444,185.841260524612,-82.4393822862767,-0.01,0.00583,-0.03416,-0.025,-0.30334
"211",3.96499999999999,78.835,107867.667056153,68324.9597231218,0.25,-2.60499999999999,-1.75,1.57499999999999,-1.95499999999998,61.3633267753466,51.6670561534993,51.5956316224183,59.4942858902068,74.949327133887,-61.6898073186603,24.9597231217631,212.45780035622,284.140321405444,185.841260524612,0.24833,-0.01,0.00583,-0.03416,-0.025
"212",2.39,82.8,107929.030382929,68263.2699158031,0.49833,3.96499999999999,-2.60499999999999,-1.75,1.57499999999999,81.0981353109237,61.3633267753466,51.6670561534993,51.5956316224183,59.4942858902068,6.67523477980285,-61.6898073186603,24.9597231217631,212.45780035622,284.140321405444,0.20167,0.24833,-0.01,0.00583,-0.03416
"213",-1.25999999999999,85.19,108010.12851824,68269.9451505829,0.7,2.39,3.96499999999999,-2.60499999999999,-1.75,110.87148176023,81.0981353109237,61.3633267753466,51.6670561534993,51.5956316224183,230.054849417094,6.67523477980285,-61.6898073186603,24.9597231217631,212.45780035622,0.0166700000000001,0.20167,0.24833,-0.01,0.00583
