"","price.raw.BFS_KANTON_NAME","price.raw.BFS_BEZIRK_ID","price.raw.BFS_BEZIRK_NAME"
"7099","Vaud","2224","District du Jura-Nord vaudois"
"7160","Vaud","2225","District de Lausanne"
"7222","Vaud","2226","District de Lavaux-Oron"
"7284","Vaud","2227","District de Morges"
"7346","Vaud","2228","District de Nyon"
"7408","Vaud","2229","District de l'Ouest lausannois"
"7468","Vaud","2230","District de la Riviera-Pays-d'Enhaut"
"7528","Zug"," 900","Kanton Zug"
"7590","Zürich"," 101","Bezirk Affoltern"
"7652","Zürich"," 102","Bezirk Andelfingen"
"7714","Zürich"," 103","Bezirk Bülach"
"7776","Zürich"," 104","Bezirk Dielsdorf"
"7838","Zürich"," 105","Bezirk Hinwil"
"7900","Zürich"," 106","Bezirk Horgen"
"7962","Zürich"," 107","Bezirk Meilen"
"8024","Zürich"," 108","Bezirk Pfäffikon"
"8086","Zürich"," 109","Bezirk Uster"
"8148","Zürich"," 110","Bezirk Winterthur"
"8210","Zürich"," 111","Bezirk Dietikon"
"8272","Zürich"," 112","Bezirk Zürich"
