year,month,201012,200512,200005,199305,198212,197709,196609,193908
1964,1,,,,,,,,173.1
1964,2,,,,,,,,173.1
1964,3,,,,,,,,173.1
1964,4,,,,,,,,173.1
1964,5,,,,,,,,179.3
1964,6,,,,,,,,179.3
1964,7,,,,,,,,179.3
1964,8,,,,,,,,179.3
1964,9,,,,,,,,179.3
1964,10,,,,,,,,179.3
1964,11,,,,,,,,179.3
1964,12,,,,,,,,179.3
1965,1,,,,,,,,179.3
1965,2,,,,,,,,179.3
1965,3,,,,,,,,179.3
1965,4,,,,,,,,179.3
1965,5,,,,,,,,190.8
1965,6,,,,,,,,190.8
1965,7,,,,,,,,190.8
1965,8,,,,,,,,190.8
1965,9,,,,,,,,190.8
1965,10,,,,,,,,190.8
1965,11,,,,,,,,190.8
1965,12,,,,,,,,190.8
1966,1,,,,,,,92.6,190.8
1966,2,,,,,,,92.6,190.8
1966,3,,,,,,,92.6,190.8
1966,4,,,,,,,92.6,190.8
1966,5,,,,,,,100,206.1
1966,6,,,,,,,100,206.1
1966,7,,,,,,,100,206.1
1966,8,,,,,,,100,206.1
1966,9,,,,,,,100,206.1
1966,10,,,,,,,100,206.1
1966,11,,,,,,,103.6,213.5
1966,12,,,,,,,103.6,213.5
1967,1,,,,,,,103.6,213.5
1967,2,,,,,,,103.6,213.5
1967,3,,,,,,,103.6,213.5
1967,4,,,,,,,103.6,213.5
1967,5,,,,,,,108.6,223.8
1967,6,,,,,,,108.6,223.8
1967,7,,,,,,,108.6,223.8
1967,8,,,,,,,108.6,223.8
1967,9,,,,,,,108.6,223.8
1967,10,,,,,,,108.6,223.8
1967,11,,,,,,,112,230.8
1967,12,,,,,,,112,230.8
1968,1,,,,,,,112,230.8
1968,2,,,,,,,112,230.8
1968,3,,,,,,,112,230.8
1968,4,,,,,,,112,230.8
1968,5,,,,,,,116.4,239.9
1968,6,,,,,,,116.4,239.9
1968,7,,,,,,,116.4,239.9
1968,8,,,,,,,116.4,239.9
1968,9,,,,,,,116.4,239.9
1968,10,,,,,,,116.4,239.9
1968,11,,,,,,,119.5,246.3
1968,12,,,,,,,119.5,246.3
1969,1,,,,,,,119.5,246.3
1969,2,,,,,,,119.5,246.3
1969,3,,,,,,,119.5,246.3
1969,4,,,,,,,119.5,246.3
1969,5,,,,,,,123.7,254.9
1969,6,,,,,,,123.7,254.9
1969,7,,,,,,,123.7,254.9
1969,8,,,,,,,123.7,254.9
1969,9,,,,,,,123.7,254.9
1969,10,,,,,,,123.7,254.9
1969,11,,,,,,,126.8,261.3
1969,12,,,,,,,126.8,261.3
1970,1,,,,,,,126.8,261.3
1970,2,,,,,,,126.8,261.3
1970,3,,,,,,,126.8,261.3
1970,4,,,,,,,126.8,261.3
1970,5,,,,,,,131.6,271.2
1970,6,,,,,,,131.6,271.2
1970,7,,,,,,,131.6,271.2
1970,8,,,,,,,131.6,271.2
1970,9,,,,,,,131.6,271.2
1970,10,,,,,,,131.6,271.2
1970,11,,,,,,,136.5,281.3
1970,12,,,,,,,136.5,281.3
1971,1,,,,,,,136.5,281.3
1971,2,,,,,,,136.5,281.3
1971,3,,,,,,,136.5,281.3
1971,4,,,,,,,136.5,281.3
1971,5,,,,,,,143.2,295.1
1971,6,,,,,,,143.2,295.1
1971,7,,,,,,,143.2,295.1
1971,8,,,,,,,143.2,295.1
1971,9,,,,,,,143.2,295.1
1971,10,,,,,,,143.2,295.1
1971,11,,,,,,,149.4,307.9
1971,12,,,,,,,149.4,307.9
1972,1,,,,,,,149.4,307.9
1972,2,,,,,,,149.4,307.9
1972,3,,,,,,,149.4,307.9
1972,4,,,,,,,149.4,307.9
1972,5,,,,,,,155.1,319.7
1972,6,,,,,,,155.1,319.7
1972,7,,,,,,,155.1,319.7
1972,8,,,,,,,155.1,319.7
1972,9,,,,,,,155.1,319.7
1972,10,,,,,,,155.1,319.7
1972,11,,,,,,,159.6,328.9
1972,12,,,,,,,159.6,328.9
1973,1,,,,,,,159.6,328.9
1973,2,,,,,,,159.6,328.9
1973,3,,,,,,,159.6,328.9
1973,4,,,,,,,159.6,328.9
1973,5,,,,,,,164.9,339.9
1973,6,,,,,,,164.9,339.9
1973,7,,,,,,,164.9,339.9
1973,8,,,,,,,164.9,339.9
1973,9,,,,,,,164.9,339.9
1973,10,,,,,,,164.9,339.9
1973,11,,,,,,,170.5,351.4
1973,12,,,,,,,170.5,351.4
1974,1,,,,,,,170.5,351.4
1974,2,,,,,,,170.5,351.4
1974,3,,,,,,,170.5,351.4
1974,4,,,,,,,170.5,351.4
1974,5,,,,,,,177,364.8
1974,6,,,,,,,177,364.8
1974,7,,,,,,,177,364.8
1974,8,,,,,,,177,364.8
1974,9,,,,,,,177,364.8
1974,10,,,,,,,177,364.8
1974,11,,,,,,,187.1,385.6
1974,12,,,,,,,187.1,385.6
1975,1,,,,,,,187.1,385.6
1975,2,,,,,,,187.1,385.6
1975,3,,,,,,,187.1,385.6
1975,4,,,,,,,187.1,385.6
1975,5,,,,,,,196.1,404.2
1975,6,,,,,,,196.1,404.2
1975,7,,,,,,,196.1,404.2
1975,8,,,,,,,196.1,404.2
1975,9,,,,,,,196.1,404.2
1975,10,,,,,,,196.1,404.2
1975,11,,,,,,,200.4,413
1975,12,,,,,,,200.4,413
1976,1,,,,,,,200.4,413
1976,2,,,,,,,200.4,413
1976,3,,,,,,,200.4,413
1976,4,,,,,,,200.4,413
1976,5,,,,,,,202.8,418
1976,6,,,,,,,202.8,418
1976,7,,,,,,,202.8,418
1976,8,,,,,,,202.8,418
1976,9,,,,,,,202.8,418
1976,10,,,,,,,202.8,418
1976,11,,,,,,,204.2,420.9
1976,12,,,,,,,204.2,420.9
1977,1,,,,,82.6,99.6,204.2,420.9
1977,2,,,,,82.6,99.6,204.2,420.9
1977,3,,,,,82.6,99.6,204.2,420.9
1977,4,,,,,82.6,99.6,204.2,420.9
1977,5,,,,,83,100,205,422.5
1977,6,,,,,83,100,205,422.5
1977,7,,,,,83,100,205,422.5
1977,8,,,,,83,100,205,422.5
1977,9,,,,,83,100,205,422.5
1977,10,,,,,83,100,205,422.5
1977,11,,,,,82.9,99.9,204.9,422.3
1977,12,,,,,82.9,99.9,204.9,422.3
1978,1,,,,,82.9,99.9,204.9,422.3
1978,2,,,,,82.9,99.9,204.9,422.3
1978,3,,,,,82.9,99.9,204.9,422.3
1978,4,,,,,82.9,99.9,204.9,422.3
1978,5,,,,,83.3,100.4,205.9,424.3
1978,6,,,,,83.3,100.4,205.9,424.3
1978,7,,,,,83.3,100.4,205.9,424.3
1978,8,,,,,83.3,100.4,205.9,424.3
1978,9,,,,,83.3,100.4,205.9,424.3
1978,10,,,,,83.3,100.4,205.9,424.3
1978,11,,,,,82.9,100,204.9,422.3
1978,12,,,,,82.9,100,204.9,422.3
1979,1,,,,,82.9,100,204.9,422.3
1979,2,,,,,82.9,100,204.9,422.3
1979,3,,,,,82.9,100,204.9,422.3
1979,4,,,,,82.9,100,204.9,422.3
1979,5,,,,,83,100.1,205.2,422.8
1979,6,,,,,83,100.1,205.2,422.8
1979,7,,,,,83,100.1,205.2,422.8
1979,8,,,,,83,100.1,205.2,422.8
1979,9,,,,,83,100.1,205.2,422.8
1979,10,,,,,83,100.1,205.2,422.8
1979,11,,,,,83.3,100.4,205.9,424.3
1979,12,,,,,83.3,100.4,205.9,424.3
1980,1,,,,,83.3,100.4,205.9,424.3
1980,2,,,,,83.3,100.4,205.9,424.3
1980,3,,,,,83.3,100.4,205.9,424.3
1980,4,,,,,83.3,100.4,205.9,424.3
1980,5,,,,,84,101.2,207.4,427.5
1980,6,,,,,84,101.2,207.4,427.5
1980,7,,,,,84,101.2,207.4,427.5
1980,8,,,,,84,101.2,207.4,427.5
1980,9,,,,,84,101.2,207.4,427.5
1980,10,,,,,84,101.2,207.4,427.5
1980,11,,,,,85.3,102.9,210.8,434.5
1980,12,,,,,85.3,102.9,210.8,434.5
1981,1,,,,,85.3,102.9,210.8,434.5
1981,2,,,,,85.3,102.9,210.8,434.5
1981,3,,,,,85.3,102.9,210.8,434.5
1981,4,,,,,85.3,102.9,210.8,434.5
1981,5,,,,,87.8,105.8,217,447.1
1981,6,,,,,87.8,105.8,217,447.1
1981,7,,,,,87.8,105.8,217,447.1
1981,8,,,,,87.8,105.8,217,447.1
1981,9,,,,,87.8,105.8,217,447.1
1981,10,,,,,87.8,105.8,217,447.1
1981,11,,,,,91.9,110.7,227,467.7
1981,12,,,,,91.9,110.7,227,467.7
1982,1,0,0,0,0,91.9,110.7,227,467.7
1982,2,0,0,0,0,91.9,110.7,227,467.7
1982,3,0,0,0,0,91.9,110.7,227,467.7
1982,4,0,0,0,0,91.9,110.7,227,467.7
1982,5,0,0,0,0,97.2,117.1,240.1,494.8
1982,6,0,0,0,0,97.2,117.1,240.1,494.8
1982,7,0,0,0,0,97.2,117.1,240.1,494.8
1982,8,0,0,0,0,97.2,117.1,240.1,494.8
1982,9,0,0,0,0,97.2,117.1,240.1,494.8
1982,10,0,0,0,0,97.2,117.1,240.1,494.8
1982,11,0,0,0,0,100,120.5,247.1,509.2
1982,12,48.5,53.6,57.8,60.6,100,120.5,247.1,509.2
1983,1,48.5,53.6,57.8,60.6,100,120.5,247.1,509.2
1983,2,48.5,53.6,57.8,60.6,100,120.5,247.1,509.2
1983,3,48.5,53.6,57.8,60.6,100,120.5,247.1,509.2
1983,4,48.5,53.6,57.8,60.6,100,120.5,247.1,509.2
1983,5,49.2,54.4,58.7,61.5,101.5,122.3,250.7,516.6
1983,6,49.2,54.4,58.7,61.5,101.5,122.3,250.7,516.6
1983,7,49.2,54.4,58.7,61.5,101.5,122.3,250.7,516.6
1983,8,49.2,54.4,58.7,61.5,101.5,122.3,250.7,516.6
1983,9,49.2,54.4,58.7,61.5,101.5,122.3,250.7,516.6
1983,10,49.2,54.4,58.7,61.5,101.5,122.3,250.7,516.6
1983,11,49.7,55,59.3,62.2,102.5,123.6,253.4,522.1
1983,12,49.7,55,59.3,62.2,102.5,123.6,253.4,522.1
1984,1,49.7,55,59.3,62.2,102.5,123.6,253.4,522.1
1984,2,49.7,55,59.3,62.2,102.5,123.6,253.4,522.1
1984,3,49.7,55,59.3,62.2,102.5,123.6,253.4,522.1
1984,4,49.7,55,59.3,62.2,102.5,123.6,253.4,522.1
1984,5,50.3,55.7,60.1,63,103.9,125.2,256.7,529
1984,6,50.3,55.7,60.1,63,103.9,125.2,256.7,529
1984,7,50.3,55.7,60.1,63,103.9,125.2,256.7,529
1984,8,50.3,55.7,60.1,63,103.9,125.2,256.7,529
1984,9,50.3,55.7,60.1,63,103.9,125.2,256.7,529
1984,10,50.3,55.7,60.1,63,103.9,125.2,256.7,529
1984,11,51,56.5,60.9,63.9,105.3,126.9,260.2,536.2
1984,12,51,56.5,60.9,63.9,105.3,126.9,260.2,536.2
1985,1,51,56.5,60.9,63.9,105.3,126.9,260.2,536.2
1985,2,51,56.5,60.9,63.9,105.3,126.9,260.2,536.2
1985,3,51,56.5,60.9,63.9,105.3,126.9,260.2,536.2
1985,4,51,56.5,60.9,63.9,105.3,126.9,260.2,536.2
1985,5,52,57.5,62.1,65.1,107.3,129.3,265.2,546.4
1985,6,52,57.5,62.1,65.1,107.3,129.3,265.2,546.4
1985,7,52,57.5,62.1,65.1,107.3,129.3,265.2,546.4
1985,8,52,57.5,62.1,65.1,107.3,129.3,265.2,546.4
1985,9,52,57.5,62.1,65.1,107.3,129.3,265.2,546.4
1985,10,52,57.5,62.1,65.1,107.3,129.3,265.2,546.4
1985,11,52.9,58.6,63.2,66.3,109.2,131.7,269.9,556.3
1985,12,52.9,58.6,63.2,66.3,109.2,131.7,269.9,556.3
1986,1,52.9,58.6,63.2,66.3,109.2,131.7,269.9,556.3
1986,2,52.9,58.6,63.2,66.3,109.2,131.7,269.9,556.3
1986,3,52.9,58.6,63.2,66.3,109.2,131.7,269.9,556.3
1986,4,52.9,58.6,63.2,66.3,109.2,131.7,269.9,556.3
1986,5,54,59.7,64.4,67.5,111.4,134.2,275.2,567.1
1986,6,54,59.7,64.4,67.5,111.4,134.2,275.2,567.1
1986,7,54,59.7,64.4,67.5,111.4,134.2,275.2,567.1
1986,8,54,59.7,64.4,67.5,111.4,134.2,275.2,567.1
1986,9,54,59.7,64.4,67.5,111.4,134.2,275.2,567.1
1986,10,54,59.7,64.4,67.5,111.4,134.2,275.2,567.1
1986,11,54.8,60.6,65.4,68.5,113,136.2,279.3,575.5
1986,12,54.8,60.6,65.4,68.5,113,136.2,279.3,575.5
1987,1,54.8,60.6,65.4,68.5,113,136.2,279.3,575.5
1987,2,54.8,60.6,65.4,68.5,113,136.2,279.3,575.5
1987,3,54.8,60.6,65.4,68.5,113,136.2,279.3,575.5
1987,4,54.8,60.6,65.4,68.5,113,136.2,279.3,575.5
1987,5,55.5,61.4,66.2,69.5,114.6,138.1,283.1,583.4
1987,6,55.5,61.4,66.2,69.5,114.6,138.1,283.1,583.4
1987,7,55.5,61.4,66.2,69.5,114.6,138.1,283.1,583.4
1987,8,55.5,61.4,66.2,69.5,114.6,138.1,283.1,583.4
1987,9,55.5,61.4,66.2,69.5,114.6,138.1,283.1,583.4
1987,10,55.5,61.4,66.2,69.5,114.6,138.1,283.1,583.4
1987,11,56.3,62.2,67.1,70.4,116.1,139.9,286.8,591.1
1987,12,56.3,62.2,67.1,70.4,116.1,139.9,286.8,591.1
1988,1,56.3,62.2,67.1,70.4,116.1,139.9,286.8,591.1
1988,2,56.3,62.2,67.1,70.4,116.1,139.9,286.8,591.1
1988,3,56.3,62.2,67.1,70.4,116.1,139.9,286.8,591.1
1988,4,56.3,62.2,67.1,70.4,116.1,139.9,286.8,591.1
1988,5,57.1,63.2,68.2,71.5,117.9,142.1,291.3,600.3
1988,6,57.1,63.2,68.2,71.5,117.9,142.1,291.3,600.3
1988,7,57.1,63.2,68.2,71.5,117.9,142.1,291.3,600.3
1988,8,57.1,63.2,68.2,71.5,117.9,142.1,291.3,600.3
1988,9,57.1,63.2,68.2,71.5,117.9,142.1,291.3,600.3
1988,10,57.1,63.2,68.2,71.5,117.9,142.1,291.3,600.3
1988,11,57.9,64,69,72.4,119.4,143.9,295.1,608
1988,12,57.9,64,69,72.4,119.4,143.9,295.1,608
1989,1,57.9,64,69,72.4,119.4,143.9,295.1,608
1989,2,57.9,64,69,72.4,119.4,143.9,295.1,608
1989,3,57.9,64,69,72.4,119.4,143.9,295.1,608
1989,4,57.9,64,69,72.4,119.4,143.9,295.1,608
1989,5,58.9,65.2,70.3,73.7,121.6,146.5,300.4,619
1989,6,58.9,65.2,70.3,73.7,121.6,146.5,300.4,619
1989,7,58.9,65.2,70.3,73.7,121.6,146.5,300.4,619
1989,8,58.9,65.2,70.3,73.7,121.6,146.5,300.4,619
