Zinssätze für Kundengeschäfte der Banken / Taux d'intérêt des opérations avec la clientèle des banques / Interest rates on bank customer loans and deposits,,,
"4.1 Zinssätze für Hypothekarkredite
4.1 Taux d'intérêt des prêts hypothécaires
4.1 Interest rates on mortgage loans",,,
In Prozent / En pour-cent / In percent,,,
"Monatsanfang
Début de mois
Beginning of month","Variable 1. Hypotheken 
Prêts hypothécaires en 1er rang et à taux variable
Variable first mortgages",,
,"Kantonalbanken¹
Banques cantonales¹
Cantonal banks¹",,
,"Alte²
Anciennes hypothèques²
Existing²","Neue
Nouvelles hypothèques
New",
,,"Wohnbau²
Construction de logements²
Residential construction²","Landwirtschaft
Agriculture
"
,4,5A,5B
1957 06,3.54,3.73,3.59
1957 07,3.56,3.78,3.61
1957 08,3.57,3.81,3.63
1957 09,3.59,3.83,3.63
1957 10,3.59,3.83,3.65
1957 11,3.59,3.85,3.68
1957 12,3.59,3.85,3.68
1958 01,3.67,4.02,3.86
1958 02,3.7,4.03,3.88
1958 03,3.7,4.03,3.88
1958 04,3.76,4.1,3.96
1958 05,3.78,4.13,3.98
1958 06,3.8,4.13,4
1958 07,3.84,4.11,3.99
1958 08,3.84,4.1,3.98
1958 09,3.84,4.09,3.98
1958 10,3.84,4.09,3.98
1958 11,3.84,4.09,3.98
1958 12,3.84,4.09,3.98
1959 01,3.83,4.05,3.95
1959 02,3.83,4.03,3.93
1959 03,3.83,4.03,3.93
1959 04,3.8,3.95,3.88
1959 05,3.78,3.82,3.8
1959 06,3.78,3.82,3.8
1959 07,3.74,3.78,3.76
1959 08,3.74,3.78,3.76
1959 09,3.74,3.78,3.76
1959 10,3.74,3.76,3.74
1959 11,3.74,3.76,3.74
1959 12,3.74,3.76,3.74
1960 01,3.74,3.76,3.74
1960 02,3.74,3.76,3.74
1960 03,3.74,3.76,3.74
1960 04,3.74,3.76,3.74
1960 05,3.74,3.76,3.74
1960 06,3.74,3.76,3.74
1960 07,3.74,3.76,3.74
1960 08,3.74,3.76,3.74
1960 09,3.74,3.76,3.74
1960 10,3.74,3.76,3.74
1960 11,3.74,3.76,3.74
1960 12,3.74,3.76,3.74
1961 01,3.74,3.76,3.74
1961 02,3.74,3.76,3.74
1961 03,3.74,3.76,3.74
1961 04,3.74,3.76,3.74
1961 05,3.74,3.76,3.74
1961 06,3.74,3.76,3.74
1961 07,3.74,3.76,3.74
1961 08,3.74,3.76,3.74
1961 09,3.74,3.76,3.74
1961 10,3.74,3.76,3.74
1961 11,3.74,3.76,3.74
1961 12,3.74,3.76,3.74
1962 01,3.74,3.76,3.74
1962 02,3.74,3.76,3.74
1962 03,3.74,3.76,3.74
1962 04,3.74,3.76,3.74
1962 05,3.74,3.76,3.74
1962 06,3.74,3.76,3.74
1962 07,3.74,3.76,3.74
1962 08,3.74,3.76,3.74
1962 09,3.74,3.76,3.74
1962 10,3.74,3.76,3.74
1962 11,3.74,3.76,3.74
1962 12,3.74,3.76,3.74
1963 01,3.74,3.76,3.74
1963 02,3.74,3.76,3.74
1963 03,3.74,3.76,3.74
1963 04,3.74,3.76,3.74
1963 05,3.74,3.76,3.74
1963 06,3.74,3.76,3.74
1963 07,3.74,3.76,3.74
1963 08,3.74,3.76,3.74
1963 09,3.74,3.76,3.74
1963 10,3.74,3.76,3.74
1963 11,3.74,3.76,3.74
1963 12,3.74,3.78,3.76
1964 01,3.74,4,3.97
1964 02,3.74,4,3.97
1964 03,3.74,4,3.97
