"Ständige und nichtständige Wohnbevölkerung nach institutionellen Gliederungen, Geburtsort und Staatsangehörigkeit"

"Jahr;""Kanton (-) / Bezirk (>>) / Gemeinde (......)"";""Bevölkerungstyp"";Ständige und nichtständige Wohnbevölkerung"
"2010;"">> Bezirk Hinterrhein"";""Nichtständige Wohnbevölkerung"";144"
"2010;"">> Bezirk Imboden"";""Ständige Wohnbevölkerung"";18773"
"2010;"">> Bezirk Imboden"";""Nichtständige Wohnbevölkerung"";316"
"2010;"">> Bezirk Inn"";""Ständige Wohnbevölkerung"";9670"
"2010;"">> Bezirk Inn"";""Nichtständige Wohnbevölkerung"";790"
"2010;"">> Bezirk Landquart"";""Ständige Wohnbevölkerung"";24093"
"2010;"">> Bezirk Landquart"";""Nichtständige Wohnbevölkerung"";97"
"2010;"">> Bezirk Maloja / Distretto di Maloggia"";""Ständige Wohnbevölkerung"";18652"
"2010;"">> Bezirk Maloja / Distretto di Maloggia"";""Nichtständige Wohnbevölkerung"";3163"
"2010;"">> Distretto di Moesa"";""Ständige Wohnbevölkerung"";7863"
"2010;"">> Distretto di Moesa"";""Nichtständige Wohnbevölkerung"";49"
"2010;"">> Bezirk Plessur"";""Ständige Wohnbevölkerung"";40067"
"2010;"">> Bezirk Plessur"";""Nichtständige Wohnbevölkerung"";1509"
"2010;"">> Bezirk Prättigau-Davos"";""Ständige Wohnbevölkerung"";26198"
"2010;"">> Bezirk Prättigau-Davos"";""Nichtständige Wohnbevölkerung"";1233"
"2010;"">> Bezirk Surselva"";""Ständige Wohnbevölkerung"";21777"
"2010;"">> Bezirk Surselva"";""Nichtständige Wohnbevölkerung"";727"
"2010;"">> Bezirk Aarau"";""Ständige Wohnbevölkerung"";70594"
"2010;"">> Bezirk Aarau"";""Nichtständige Wohnbevölkerung"";460"
"2010;"">> Bezirk Baden"";""Ständige Wohnbevölkerung"";131565"
"2010;"">> Bezirk Baden"";""Nichtständige Wohnbevölkerung"";756"
"2010;"">> Bezirk Bremgarten"";""Ständige Wohnbevölkerung"";69329"
"2010;"">> Bezirk Bremgarten"";""Nichtständige Wohnbevölkerung"";217"
"2010;"">> Bezirk Brugg"";""Ständige Wohnbevölkerung"";46672"
"2010;"">> Bezirk Brugg"";""Nichtständige Wohnbevölkerung"";247"
"2010;"">> Bezirk Kulm"";""Ständige Wohnbevölkerung"";37887"
"2010;"">> Bezirk Kulm"";""Nichtständige Wohnbevölkerung"";331"
"2010;"">> Bezirk Laufenburg"";""Ständige Wohnbevölkerung"";29282"
"2010;"">> Bezirk Laufenburg"";""Nichtständige Wohnbevölkerung"";114"
"2010;"">> Bezirk Lenzburg"";""Ständige Wohnbevölkerung"";53169"
"2010;"">> Bezirk Lenzburg"";""Nichtständige Wohnbevölkerung"";167"
"2010;"">> Bezirk Muri"";""Ständige Wohnbevölkerung"";32339"
"2010;"">> Bezirk Muri"";""Nichtständige Wohnbevölkerung"";126"
"2010;"">> Bezirk Rheinfelden"";""Ständige Wohnbevölkerung"";43805"
"2010;"">> Bezirk Rheinfelden"";""Nichtständige Wohnbevölkerung"";193"
"2010;"">> Bezirk Zofingen"";""Ständige Wohnbevölkerung"";64710"
"2010;"">> Bezirk Zofingen"";""Nichtständige Wohnbevölkerung"";284"
"2010;"">> Bezirk Zurzach"";""Ständige Wohnbevölkerung"";32114"
"2010;"">> Bezirk Zurzach"";""Nichtständige Wohnbevölkerung"";163"
"2010;"">> Bezirk Arbon"";""Ständige Wohnbevölkerung"";51893"
"2010;"">> Bezirk Arbon"";""Nichtständige Wohnbevölkerung"";398"
"2010;"">> Bezirk Frauenfeld"";""Ständige Wohnbevölkerung"";61778"
"2010;"">> Bezirk Frauenfeld"";""Nichtständige Wohnbevölkerung"";525"
"2010;"">> Bezirk Kreuzlingen"";""Ständige Wohnbevölkerung"";42559"
"2010;"">> Bezirk Kreuzlingen"";""Nichtständige Wohnbevölkerung"";615"
"2010;"">> Bezirk Münchwilen"";""Ständige Wohnbevölkerung"";42024"
"2010;"">> Bezirk Münchwilen"";""Nichtständige Wohnbevölkerung"";155"
"2010;"">> Bezirk Weinfelden"";""Ständige Wohnbevölkerung"";50190"
"2010;"">> Bezirk Weinfelden"";""Nichtständige Wohnbevölkerung"";399"
"2010;"">> Distretto di Bellinzona"";""Ständige Wohnbevölkerung"";48231"
"2010;"">> Distretto di Bellinzona"";""Nichtständige Wohnbevölkerung"";210"
